Id,Domanda,Risposta,Tipo-Domanda
342,"Per l'individuazione degli operatori economici che possono presentare offerte per l'affidamento di un contratto pubblico, le stazioni appaltanti utilizzano le procedure previste dal Codice dei contratti pubblici. Quale tra le seguenti è una procedura che può essere utilizzata solo quando sussistono particolari presupposti?",Dialogo competitivo,Generazione
343,"Per l'individuazione degli operatori economici che possono presentare offerte per l'affidamento di un contratto pubblico, le stazioni appaltanti utilizzano le procedure previste dal Codice dei contratti pubblici. Quale tra le seguenti è una procedura che può essere utilizzata solo quando sussistono particolari presupposti?",Procedura competitiva con negoziazione,Generazione
344,"Per l'individuazione degli operatori economici che possono presentare offerte per l'affidamento di un contratto pubblico, le stazioni appaltanti utilizzano le procedure previste dal Codice dei contratti pubblici. Quale tra le seguenti è una procedura a carattere eccezionale?",Procedura negoziata,Generazione
345,"Per l'individuazione degli operatori economici che possono presentare offerte per l'affidamento di un contratto pubblico, le stazioni appaltanti utilizzano le procedure previste dal Codice dei contratti pubblici. Quali tra le seguenti è una procedura ordinaria?",Procedura aperta,Generazione
346,"Per l'individuazione degli operatori economici che possono presentare offerte per l'affidamento di un contratto pubblico, le stazioni appaltanti utilizzano le procedure previste dal Codice dei contratti pubblici. Quali tra le seguenti è una procedura ordinaria?",Procedura ristretta,Generazione
347,"Per l'individuazione degli operatori economici che possono presentare offerte per l'affidamento di un contratto pubblico, le stazioni appaltanti utilizzano le procedure previste dal Codice dei contratti pubblici. Quali tra le seguenti è una procedura a carattere eccezionale?",Procedura negoziata,Generazione
348,"Per l'individuazione degli operatori economici che possono presentare offerte per l'affidamento di un contratto pubblico, le stazioni appaltanti utilizzano le procedure previste dal Codice dei contratti pubblici. Quale tra le seguenti è una procedura ordinaria?",Procedura aperta,Generazione
349,Per ogni singola procedura per l'affidamento di un appalto o di una concessione le stazioni appaltanti individuano un:,"responsabile unico del procedimento (RUP) per le fasi della programmazione, della progettazione, dell'affidamento e dell'esecuzione",Completamento
350,Per ogni singola procedura per l'affidamento di un appalto o di una concessione le stazioni appaltanti individuano:,"un responsabile unico del procedimento (RUP) per le fasi della programmazione, della progettazione, dell'affidamento, dell'esecuzione",Completamento
351,Per ogni singola procedura per l'affidamento di un appalto o di una concessione le stazioni appaltanti nell'atto di adozione o di aggiornamento dei programmi dei lavori pubblici:,"Individuano un responsabile unico del procedimento (RUP) per le fasi della programmazione, della progettazione, dell'affidamento, dell'esecuzione",Completamento
352,Per ogni singola procedura per l'affidamento di un appalto o di una concessione le stazioni appaltanti nominano:,un Responsabile Unico del Procedimento,Completamento
353,Per quale motivo le stazioni appaltanti suddividono gli appalti in lotti funzionali ovvero in lotti prestazionali?,"Per favorire l'accesso delle microimprese, piccole e medie imprese",Generazione
354,"Per soddisfare la richiesta relativa al possesso dei requisiti di carattere economico, finanziario, tecnico e professionale necessari per la partecipazione a un appalto pubblico, un operatore economico può ricorrere:",all'avvalimento,Completamento
355,Per un singolo appalto possono essere indicati più conti correnti dedicati?,"Sì, l'appaltatore/operatore può indicare più conti correnti dedicati per un singolo appalto pubblico",Generazione
356,"Per una Pubblica Amministrazione, quali sono i vantaggi principali nell'uso del Mercato Elettronico (MePA)?",Trasparenza e tracciabilità dell'intero processo d'acquisto,Generazione
357,"Prima dell'avvio delle procedure di affidamento dei contratti pubblici, le stazioni appaltanti:","decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte",Completamento
358,Qual è il termine minimo di ricezione dell'offerta in una gara aperta?,35 giorni dalla pubblicazione del bando,Generazione
359,Qual è la differenza tra procedure aperte e procedure ristrette?,"Nelle procedure aperte tutti gli operatori economici possono partecipare alla gara, mentre in quelle ristrette la procedura di aggiudicazione si svolge tra operatori economici che sono già stati selezionati e invitati dall'Amministrazione aggiudicatrice",Generazione
360,"Qual è la soglia di rilevanza europea, indicata all'art.14 del D.Lgs. 36/2023, per gli appalti pubblici di forniture, di servizi e per i concorsi pubblici di progettazione aggiudicati dalle stazioni appaltanti che sono autorità governative centrali ?",Euro 140.000,Generazione
361,"Qual è la soglia di rilevanza europea, indicata all'art.14 del D.Lgs. 36/2023, per gli appalti pubblici di lavori e per le concessioni?",Euro 5.382.000,Generazione
362,Qual è l'importo unitario delle procedure contenute nel programma biennale di forniture e servizi?,Pari o superiore a 40.000 euro,Generazione
363,Qual è l'intento del legislatore in relazione al Codice dei contratti Pubblici?,"L'intento del legislatore è quello di separare nettamente la fase di scelta del contraente, retta da regole pubblicistiche, che culmina nell'aggiudicazione, dalla fase di stipulazione del contratto, retta da regole di diritto privato",Generazione
364,Qual è una delle principali attività delle Centrali di committenza?,"La conclusione di accordi quadro per lavori, forniture o servizi destinati a stazioni appaltanti",Generazione
365,Quale è il criterio di aggiudicazione usato per i contratti legati ai servizi di ristorazione ospedaliera?,L'offerta economicamente più vantaggiosa,Generazione
366,Quale è il valore massimo per il criterio di aggiudicazione al minor prezzo?,Un milione di euro,Generazione
367,Quale è l'importo per l' acquisizione di beni e servizi sottosoglia nei settori ordinari da parte delle Amministrazioni che non sono Autorità governative centrali?,"215.000,00 euro al netto dell'IVA",Generazione
368,"Quale alternativa di risposta contiene il sistema di scelta ordinario del contraente in cui ogni operatore economico può presentare una domanda di partecipazione, in risposta ad un avviso di indizione di una gara, fornendo le informazioni richieste dall'amministrazione aggiudicatrice, ai fini della selezione qualitativa?",Procedura ristretta,Generazione
369,Quale criterio di aggiudicazione si può applicare in caso di appalto di lavori di importo inferiore ad un milione di euro?,Il minor prezzo e l'offerta economicamente più vantaggiosa,Generazione
370,Quale di questi NON è un elemento essenziale del contratto?,Termine,Generazione
371,Quale ente si occupa di determinare le linee guida per le procedure negoziate?,Anac,Generazione
372,Quale ente si occupa di stabilire le modalità di dettaglio per la formazione degli elenchi degli operatori economici?,L'ANAC con proprie linee guida stabilisce le modalità di dettaglio per la formazione e gestione degli elenchi degli operatori economici,Generazione
373,Quale ente si occupa di stabilire le modalità di dettaglio per la formazione degli elenchi degli operatori economici?,L'ANAC con proprie linee guida stabilisce le modalità di dettaglio per la formazione e gestione degli elenchi degli operatori economici,Generazione
374,Quale normativa regola i rapporti tra Consip spa e il Mef?,"Art.26, Legge 488/99 e successive modificazioni",Generazione
375,Quale organo adotta le linee guida in materia di contratti pubblici?,L'ANAC,Generazione
376,Quale soggetto definisce periodicamente il valore degli appalti sottosoglia?,"La Commissione europea, con apposito provvedimento",Generazione
377,"Quale soggetto, tra quelli elencati di seguito, svolge i compiti di vigilanza e controllo sui contratti pubblici e l'attività di regolazione degli stessi?",L'Autorità Nazionale Anticorruzione (ANAC),Generazione
378,Quale tra le seguenti è una procedura in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto?,Procedure negoziate,Generazione
379,Quale tra le seguenti fasi della procedura ad evidenza pubblica viene per prima rispetto alle altre?,Determinazione a contrattare,Generazione
380,Quale tra le seguenti fasi della procedura ad evidenza pubblica viene per prima rispetto alle altre?,Pubblicazione del bando di gara,Generazione
381,Quale tra le seguenti fasi della procedura ad evidenza pubblica viene per prima rispetto alle altre?,Scelta del contraente,Generazione
382,Quale tra le seguenti fasi della procedura ad evidenza pubblica viene per prima rispetto alle altre?,Determinazione a contrattare,Generazione
383,Quale tra le seguenti fasi della procedura ad evidenza pubblica viene per prima rispetto alle altre?,Scelta del contraente,Generazione
384,Quale tra le seguenti fasi della procedura ad evidenza pubblica viene per ultima rispetto alle altre?,Aggiudicazione e stipula del contratto,Generazione
385,"Quali contratti richiedono per il loro perfezionamento, oltre al consenso dei contraenti, la consegna del bene oggetto del contratto?",I contratti reali,Generazione
386,"Quali funzioni ha assunto, a seguito dell'entrata in vigore della Legge 11 agosto 2014, n. 114, di conversione del decreto legge 24 giugno 2014, n.90, la nuova Autorità Nazionale Anticorruzione?","Ha assorbito le funzioni e le risorse dell'ex Autorità per la vigilanza sui contratti pubblici di lavori, servizi e forniture (AVCP)",Generazione
387,Quali istituti possono incidere sulla produzione di effetti del contratto stipulato?,"Recesso, sospensione, risoluzione",Generazione
388,"Quali procedure di scelta del contraente prevista dal Codice dei contratti pubblici consiste in un processo per fasi successive basato su un dispositivo elettronico di presentazione di nuovi prezzi modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, che interviene dopo una prima valutazione completa delle offerte permettendo che la loro classificazione possa essere effettuata sulla base di un trattamento automatico?",Asta elettronica,Generazione
389,Quali sono gli elementi che costituiscono la Determina a contrarre?,La modalità di gara e le clausole contrattuali essenziali,Generazione
390,Quali sono gli elementi che costituiscono la Determina?,La modalità di gara e le clausole contrattuali essenziali,Generazione
391,Quali sono i contenuti obbligatori della determinazione a contrarre?,Gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte,Generazione
392,Quali sono i criteri di aggiudicazione che la Pubblica Amministrazione può utilizzare per individuare l'offerta aggiudicataria ?,Il criterio del prezzo più basso ovvero il criterio della offerta economicamente più vantaggiosa,Generazione
393,"Quali sono i principi secondo cui si svolge l'affidamento e l'esecuzione di appalti di opere, lavori, servizi, forniture e concessioni?","Economicità, efficacia, tempestività e correttezza",Generazione
394,Quali sono i requisiti di ordine speciale ai sensi dell'art.100 comma 1 del D.Lgs.36/2023?,L'idoneità professionale; la capacità economica e finanziaria; le capacità tecniche e professionali,Generazione
395,Quali sono i soggetti tenuti all'obbligo della tracciabilità?,"Gli appaltatori di lavori, i prestatori di servizi, i fornitori, i subappaltatori e i subcontraenti della filiera delle imprese, nonché i concessionari di finanziamenti pubblici anche europei a qualsiasi titolo interessati ai lavori, ai servizi e alle forniture",Generazione
396,"Quali sono le irregolarità ""non sanabili"" a mezzo del Soccorso istruttorio?",Le carenze della documentazione che non consentono l'individuazione del contenuto o del soggetto responsabile della stessa e le carenze di elementi dell'offerta tecnica ed economica,Generazione
397,Quali sono le procedure di acquisto attraverso le quali il mercato elettronico offre alle Amministrazioni la possibilità di concludere contratti?,l'ordine d'acquisto (OdA) e la richiesta d'offerta (RdO),Generazione
398,"Quali, tra i segenti settori, rientra nei settori speciali di cui al titolo VI, Capo I del Codice dei Contratti pubblici?","Gas ed Energia termica, Elettricità ed Acqua",Generazione
399,"Qualsiasi soggetto, pubblico o privato, che affida contratti di appalto di lavori, servizi e forniture e che è comunque tenuto, nella scelta del contraente, al rispetto del Codice dei contratti pubblici è:",una stazione appaltante,Completamento
400,Quando avviene la nomina dei commissari che compongono la commissione aggiudicatrice?,Dopo la scadenza del termine fissato per la presentazione dell'offerta,Generazione
401,"Quando i lavori, le forniture o i servizi possono essere forniti unicamente da un determinato operatore economico per una delle ragioni indicate dal codice appalti, le amministrazioni aggiudicatrici possono aggiudicare appalti pubblici mediante:",Procedura negoziata senza previa pubblicazione di un bando di gara,Completamento
402,Quando il contratto si considera concluso?,Quando chi ha fatto la proposta ha conoscenza dell'accettazione dell'altra parte,Generazione
403,Quando il Rup può agire in deroga all'impedimento della stipula del contratto?,Solo in casi di urgenza,Generazione
404,"Quando si hanno più appalti aggiudicati in lotti, come si determina il valore del contratto pubblico?",Il valore è determinato dalla totalità dei lotti,Generazione
405,Quando viene adottata la determinazione a contrarre?,quando occorre attivare il procedimento per l'individuazione del contraente,Generazione
406,Se ad una delle parti è attribuita la facolta' di recedere dal contratto questa puo' essere esercitata finchè il contratto:,Non abbia avuto un principio di esecuzione,Completamento
407,"Se la stazione appaltante decide di utilizzare per l'aggiudicazione di una gara il criterio del minor prezzo, essa deve...",Darne una motivazione adeguata e indicare nel bando il criterio applicato ai fini della selezione della migliore offerta,Completamento
408,Se l'amministrazione aggiudicatrice decide di avvalersi della procedura aperta:,qualsiasi operatore economico interessato può presentare un'offerta,Completamento
409,"Se nessuna offerta, nell'ambito di una procedura di gara ai fini dell'aggiudicazione di un contratto, non risulta conveniente in relazione all'oggetto del contratto stesso, la stazione appaltante...","Può stabilire che non si proceda all'aggiudicazione, soltanto, tuttavia, qualora di tale facoltà sia stata data indicazione espressa nel bando di gara o nella lettera d'invito",Completamento
410,"Secondo il Codice degli Appalti, esiste la possibilità di avvalersi di più ""imprese ausiliarie"":",Si ed in tal caso si configura l'avvalimento plurimo,Completamento
411,"Secondo il Codice degli Appalti, la dichiarazione indicante l'organico medio annuo, rientra nell'elenco esemplificativo di informazioni che le Stazioni Appaltanti possono richiedere ai potenziali offerenti per provare:",la loro capacità tecnico-professionale,Completamento
412,"Secondo il Codice degli Appalti, la produzione di idonee referenze bancarie, rientra nell'elenco esemplificativo di informazioni che le Stazioni Appaltanti possono richiedere ai potenziali offerenti per provare:",la loro capacità economica e finanziaria,Completamento
413,"Secondo il Codice degli Appalti, la Stazione appaltante può chiedere in qualsiasi momento della procedura a qualsiasi offerente di presentare tutti i documenti a comprova della dichiarazioni fornite in sede di presentazione dell'offerta?",Si,Generazione
414,"Secondo il Codice degli appalti, le principali procedure di scelta del contraente sono:","procedura aperta, procedura ristretta e procedura negoziata",Completamento
415,"Secondo il Codice degli appalti, le principali procedure di scelta del contraente sono:","procedura aperta, procedura ristretta e procedura negoziata",Completamento
416,"Secondo il Codice degli Appalti, l'indicazione delle misure di gestione ambientale, rientra nell'elenco esemplificativo di informazioni che le Stazioni Appaltanti possono richiedere ai potenziali offerenti per provare:",la loro capacità tecnico-professionale,Completamento
417,"Secondo il Codice degli Appalti, per ragioni di estrema urgenza derivante da eventi imprevedibili dall'amministrazione aggiudicatrice, quale delle seguenti procedure può essere impiegata?",Procedura negoziata,Generazione
418,"Secondo il Codice degli Appalti, se i lavori, le forniture o i servizi possono essere forniti unicamente da un determinato operatore economico in quanto lo scopo dell'appalto è l'acquisizione di un'opera d'arte o rappresentazione artistica unica, quale delle seguenti procedure può essere impiegata?",Procedura negoziata,Generazione
419,"Secondo il Codice degli Appalti, se i lavori, le forniture o i servizi possono essere forniti unicamente da un determinato operatore economico per assenza di concorrenza a causa di motivi tecnici, quale delle seguenti procedure può essere impiegata?",Procedura negoziata,Generazione
420,"Secondo il Codice degli Appalti, se i lavori, le forniture o i servizi possono essere forniti unicamente da un determinato operatore economico per la tutela dei diritti esclusivi (inclusi i diritti di proprietà intellettuale), quale delle seguenti procedure può essere impiegata?",Procedura negoziata,Generazione
421,"Secondo il Codice degli Appalti, se i lavori, le forniture o i servizi possono essere forniti unicamente da un determinato operatore economico per la tutela dei diritti esclusivi, quale delle seguenti procedure può essere impiegata?","Procedura negoziata, senza previa pubblicazione di un bando di gara",Generazione
422,"Secondo il Codice dei Contratti pubblici, qual è la corretta definizione di ""dialogo competitivo""?","Si tratta di una procedura di scelta del contraente in cui qualsiasi operatore economico può chiedere di partecipare in base ad un bando di gara o ad un avviso di indizione di gara, ma le stazioni appaltanti avviano un dialogo solo con gli operatori che, sulla base delle informazioni fornite, vengono invitate",Generazione
423,"Secondo il codice del Terzo Settore, l'individuazione da parte delle PA, delle organizzazioni di volontariato e delle associazioni di promozione sociale con cui stipulare le convenzione per lo svolgimento in favore di terzi di attivita' o servizi sociali di interesse generale:","Avviene nel rispetto dei principi di imparzialita', pubblicita', trasparenza, partecipazione e parita' di trattamento, mediante procedure comparative riservate alle medesime",Completamento
424,"Secondo il D.Lgs. 36/2023 e s.m.i., come si chiama il soggetto, pubblico o privato, che affida contratti di appalto di lavori, servizi e forniture e che è comunque tenuto, nella scelta del contraente, al rispetto del codice dei contratti pubblici?",stazione appaltante,Generazione
425,"Secondo il D.lgs. 36/2023 e s.m.i., come si chiamano i contratti a titolo oneroso stipulati per iscritto tra uno o più operatori economici e una o più stazioni appaltanti e aventi per oggetto l'esecuzione di lavori?","""Contratti di appalto"" o ""appalti pubblici""",Generazione
426,"Secondo la normativa vigente, chi è il soggetto competente a rogare i contratti di cui l'ente è parte?",Il Segretario comunale,Generazione
427,Secondo l'art.9 comma 4 del D.Lgs n. 36/2023 :,le stazioni appaltanti favoriscono l'inserimento nel contratto di clausole di rinegoziazione,Completamento
428,"Secondo quanto normato dall'art.87, co, 1, del D.Lgs. 36/2023 e s.m.i., il disciplinare di gara:",fissa le regole per lo svolgimento del procedimento di selezione delle offerte,Completamento
429,"Secondo quanto specificato dall'ANAC nelle Linee guida n. 3 afferenti la nomina, ruolo e compiti del RUP per l'affidamento di appalti e concessioni, il RUP può svolgere anche le funzioni di direttore lavori?","Sì, nei limiti delle proprie competenze professionali, a condizione che sia in possesso del titolo di studio, della formazione e dell'esperienza professionale necessaria e che non intervengano cause ostative alla coincidenza delle figure indicate nelle citate Linee guida",Generazione
430,"Secondo quanto stabilito dal codice appalti, riguardo alle Fasi delle procedure di affidamento, quale delle seguenti affermazioni è corretta?","Prima dell'avvio delle procedure di affidamento dei contratti pubblici, le stazioni appaltanti, in conformita' ai propri ordinamenti, decretano o determinano di contrarre",Generazione
431,"Secondo quanto stabilito dal Codice dei contratti, gli atti delle amministrazioni aggiudicatrici relativi alle procedure per l'affidamento di appalti pubblici di lavori e opere devono essere resi pubblici?","Si, devono essere pubblicati nella sezione ""Amministrazione trasparente""",Generazione
432,Si definisce «concessionario»:,un operatore economico cui è stata affidata o aggiudicata una concessione,Completamento
433,Si definiscono offerte anormalmente basse:,"le offerte che appaiono anormalmente basse, sulla base di un giudizio tecnico sulla congruità, serietà, sostenibilità e realizzabilità dell'offerta",Completamento
434,Sono «amministrazioni aggiudicatrici»:,"le amministrazioni dello Stato; gli enti pubblici territoriali; gli altri enti pubblici non economici; gli organismi di diritto pubblico; le associazioni, unioni, consorzi, comunque denominati, costituiti da detti soggetti",Completamento
435,Sono «appalti pubblici»:,"i contratti stipulati per iscritto tra una o più stazioni appaltanti e uno o più operatori economici, aventi per oggetto l'esecuzione di lavori, la fornitura di prodotti e la prestazione di servizi",Completamento
436,Sono «procedure negoziate» :,le procedure di affidamento in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto,Completamento
437,Sono esclusi dalla partecipazione alle procedure di appalto di lavori pubblici gli operatori economici che:,si trovino in stato di concordato preventivo,Completamento
438,"Sul MEPA in che modo una Pubblica Amministrazione può negoziare direttamente con un unico operatore economico, in specifiche situazioni, al di sotto di un determinato importo, il prodotto che le interessa?",Attraverso una trattativa diretta,Generazione
439,Tra gli indicatori di rischio corruttivo negli appalti figurano:,il numero delle procedure aggiudicate con il criterio dell'offerta economicamente più vantaggiosa rispetto al totale delle procedure,Completamento
440,Un bene demaniale puo' essere oggetto di contratti che permettono ai privati la sua utilizzazione?,Si,Generazione
441,"Un contratto pubblico può essere stipulato mediante corrispondenza secondo l'uso del commercio, consistente in un apposito scambio di lettere?","Si, nel caso di procedura negoziata ovvero per gli affidamenti di importo non superiore a 40.000 euro",Generazione
442,Un lavoratore autonomo può avere un DURC?,"Sì, sarà espressamente richiesto e acquisito",Generazione
443,Un lavoratore autonomo può avere un DURC?,"Si, sarà espressamente richiesto e acquisito",Generazione
444,Un operatore economico cui è affidato un appalto o una concessione è chiamato:,aggiudicatario,Completamento
445,Un operatore economico cui è affidato un appalto o una concessione si chiama:,aggiudicatario (D.Lgs. 36/2023 e s.m.i.),Completamento
446,Un sistema dinamico di acquisizione viene utilizzato:,"per acquisti di uso corrente, le cui caratteristiche, cosi' come generalmente disponibili sul mercato, soddisfano le esigenze delle stazioni appaltanti",Completamento
447,Una delle causali per la riduzione dei termini minimi di presentazione dell'offerta può essere:,l'urgenza anche se questa debba essere poi correttamente motivata,Completamento
448,"Una delle fasi del procedimento ad evidenza pubblica è l'individuazione dell'operatore economico con il quale addivenire al contratto. Oltre alla procedura aperta quale dei seguenti sistemi di individuazione dell'operatore economico è considerato ""ordinario""?",Procedura ristretta,Generazione
449,Una delle fasi del procedimento ad evidenza pubblica è l'individuazione dell'operatore economico con il quale addivenire al contratto. Quale tra i seguenti è il sistema di scelta ordinario del contraente in cui ogni operatore economico interessato può presentare un'offerta in risposta a un avviso di indizione di una gara?,Procedura aperta,Generazione
450,Vi è equivalenza tra i termini minimi per la presentazione di offerta nelle procedure aperte e ristrette?,"No, il limite temporale è diversificato proprio in funzione della procedura",Generazione
